,index,team,player,location
433,667,England,Luke Shaw,"[43.9, 28.2]"
434,668,England,Philip Foden,"[57.6, 17.7]"
435,669,England,Luke Shaw,"[47.1, 12.6]"
436,670,England,Philip Foden,"[105.7, 14.5]"
437,674,England,Jordan Brian Henderson,"[89.6, 80.0]"
438,675,England,Declan Rice,"[81.2, 75.1]"
439,676,England,Jordan Brian Henderson,"[83.3, 77.3]"
440,677,England,Kyle Walker,"[65.9, 72.5]"
441,678,England,Declan Rice,"[72.9, 67.4]"
442,679,England,John Stones,"[50.8, 52.1]"
443,680,England,Harry Maguire,"[37.5, 28.8]"
444,681,England,Philip Foden,"[39.5, 10.5]"
445,682,England,Harry Maguire,"[13.3, 8.5]"
446,683,England,Jordan Pickford,"[11.7, 42.6]"
447,684,England,John Stones,"[21.1, 56.3]"
448,685,England,Declan Rice,"[29.4, 47.5]"
449,686,England,Harry Kane,"[52.5, 43.1]"
450,687,England,Jordan Brian Henderson,"[95.7, 62.0]"
451,688,England,Kyle Walker,"[105.6, 71.2]"
452,689,England,Kyle Walker,"[105.6, 80.0]"
453,699,England,Jude Bellingham,"[70.6, 8.8]"
454,701,England,Declan Rice,"[43.7, 24.6]"
455,702,England,Harry Kane,"[71.9, 28.2]"
456,703,England,Philip Foden,"[82.9, 30.4]"
457,709,England,Jude Bellingham,"[59.0, 38.3]"
458,710,England,Jordan Brian Henderson,"[64.2, 50.8]"
459,711,England,Kyle Walker,"[51.8, 66.9]"
460,712,England,John Stones,"[28.3, 57.4]"
461,713,England,Jordan Pickford,"[10.6, 31.4]"
462,719,England,Bukayo Saka,"[47.1, 51.9]"
463,720,England,Jordan Brian Henderson,"[66.5, 74.8]"
464,721,England,Jude Bellingham,"[67.6, 65.8]"
465,722,England,Kyle Walker,"[43.9, 74.8]"
466,723,England,Declan Rice,"[47.4, 65.2]"
467,724,England,John Stones,"[45.0, 47.9]"
468,725,England,Kyle Walker,"[45.9, 67.7]"
469,726,England,Jordan Brian Henderson,"[57.5, 76.8]"
470,727,England,Kyle Walker,"[32.7, 71.5]"
471,728,England,John Stones,"[25.9, 42.6]"
472,729,England,Harry Maguire,"[35.6, 14.5]"
473,730,England,Philip Foden,"[60.2, 14.5]"
474,731,England,Jude Bellingham,"[63.0, 27.3]"
475,732,England,Luke Shaw,"[63.0, 10.2]"
476,733,England,Jude Bellingham,"[60.9, 19.4]"
477,734,England,Harry Maguire,"[45.3, 13.7]"
478,735,England,John Stones,"[57.5, 55.1]"
479,736,England,Bukayo Saka,"[76.9, 76.4]"
480,737,England,Jordan Brian Henderson,"[83.3, 66.9]"
481,738,England,Kyle Walker,"[78.1, 52.1]"
482,743,England,John Stones,"[35.5, 43.7]"
483,744,England,Jordan Pickford,"[7.4, 35.9]"
484,745,England,Luke Shaw,"[47.1, 4.5]"
485,746,England,Jude Bellingham,"[50.3, 13.7]"
486,747,England,Harry Maguire,"[27.2, 12.3]"
487,748,England,John Stones,"[29.5, 59.6]"
488,749,England,Jordan Brian Henderson,"[48.6, 59.9]"
489,750,England,John Stones,"[34.9, 60.3]"
490,751,England,Jordan Brian Henderson,"[43.3, 72.9]"
491,752,England,John Stones,"[43.3, 57.7]"
492,753,England,Jordan Brian Henderson,"[38.1, 71.2]"
493,754,England,Jordan Pickford,"[25.4, 47.6]"
494,755,England,Kyle Walker,"[40.2, 72.1]"
495,756,England,John Stones,"[33.4, 64.6]"
496,757,England,Declan Rice,"[38.9, 63.1]"
497,758,England,Kyle Walker,"[39.8, 76.4]"
498,759,England,Marcus Rashford,"[51.4, 67.5]"
499,760,England,Kyle Walker,"[48.0, 51.5]"
500,761,England,Marcus Rashford,"[62.1, 74.8]"
501,762,England,Jordan Brian Henderson,"[62.4, 62.6]"
502,763,England,Declan Rice,"[49.7, 38.3]"
503,764,England,Declan Rice,"[56.0, 23.2]"
504,765,England,Marcus Rashford,"[61.3, 73.6]"
505,766,England,Kyle Walker,"[48.0, 62.0]"
506,767,England,John Stones,"[45.4, 47.6]"
507,768,England,Jordan Brian Henderson,"[61.8, 52.1]"
508,769,England,Kyle Walker,"[47.1, 62.5]"
509,770,England,John Stones,"[39.2, 48.3]"
510,771,England,Harry Maguire,"[33.7, 18.8]"
511,772,England,Jordan Pickford,"[12.7, 25.6]"
512,778,England,Jordan Pickford,"[16.2, 34.2]"
513,784,England,Luke Shaw,"[23.1, 33.1]"
514,791,England,Jordan Pickford,"[7.0, 44.1]"
515,792,England,John Stones,"[23.3, 65.7]"
516,793,England,Jordan Brian Henderson,"[31.7, 68.7]"
517,794,England,John Stones,"[23.9, 67.5]"
518,795,England,Declan Rice,"[33.4, 58.5]"
519,796,England,Jordan Pickford,"[19.6, 30.5]"
520,797,England,Harry Maguire,"[18.7, 23.6]"
521,798,England,John Stones,"[17.8, 55.7]"
522,799,England,Kyle Walker,"[27.1, 75.3]"
523,800,England,John Stones,"[36.4, 60.5]"
524,801,England,Jordan Brian Henderson,"[59.2, 69.6]"
525,802,England,Marcus Rashford,"[85.3, 65.4]"
526,819,England,Jack Grealish,"[11.7, 8.1]"
527,820,England,Harry Maguire,"[24.7, 25.2]"
528,822,England,Kyle Walker,"[34.8, 80.0]"
529,823,England,John Stones,"[18.0, 78.7]"
530,827,England,Jordan Pickford,"[7.0, 44.1]"
531,828,England,Kyle Walker,"[86.4, 80.0]"
532,829,England,John Stones,"[56.7, 74.6]"
533,830,England,Harry Maguire,"[48.3, 48.3]"
534,831,England,Luke Shaw,"[45.9, 22.3]"
535,832,England,Declan Rice,"[53.8, 46.6]"
536,833,England,Marcus Rashford,"[76.5, 75.5]"
537,834,England,Kyle Walker,"[59.4, 74.6]"
538,835,England,Declan Rice,"[55.8, 67.6]"
539,836,England,Kyle Walker,"[57.0, 76.5]"
540,837,England,John Stones,"[22.8, 56.5]"
541,838,England,Jordan Pickford,"[13.9, 34.3]"
542,839,England,Luke Shaw,"[49.7, 6.1]"
543,840,England,Declan Rice,"[52.6, 27.3]"
544,841,England,Luke Shaw,"[51.2, 6.1]"
545,842,England,Jack Grealish,"[70.9, 5.4]"
546,843,England,Luke Shaw,"[81.1, 13.9]"
547,844,England,Harry Maguire,"[115.5, 58.4]"
548,847,England,Jordan Brian Henderson,"[70.5, 76.2]"
549,848,England,Jordan Pickford,"[30.5, 64.4]"
550,853,England,Kyle Walker,"[21.6, 57.5]"
551,854,England,Jordan Brian Henderson,"[30.5, 55.3]"
552,855,England,Marcus Rashford,"[39.1, 65.2]"
553,866,England,Mason Mount,"[64.0, 57.2]"
554,867,England,Declan Rice,"[49.7, 53.6]"
555,868,England,Jack Grealish,"[59.1, 52.2]"
556,869,England,Kyle Walker,"[49.7, 74.8]"
557,870,England,Jordan Brian Henderson,"[51.9, 67.8]"
558,871,England,Marcus Rashford,"[102.3, 69.7]"
559,874,England,Mason Mount,"[84.4, 18.9]"
560,875,England,Jordan Brian Henderson,"[74.8, 26.6]"
561,876,England,Declan Rice,"[71.2, 20.1]"
562,877,England,Jack Grealish,"[88.0, 4.9]"
563,878,England,Luke Shaw,"[75.8, 8.1]"
564,879,England,Declan Rice,"[69.0, 11.4]"
565,880,England,Harry Maguire,"[51.7, 28.3]"
566,881,England,Kyle Walker,"[63.2, 56.5]"
567,882,England,Jordan Brian Henderson,"[61.8, 49.3]"
568,883,England,Kyle Walker,"[62.3, 59.6]"
569,884,England,Eric Dier,"[46.6, 59.6]"
570,885,England,Declan Rice,"[57.2, 46.6]"
571,886,England,Jordan Brian Henderson,"[57.2, 54.6]"
572,887,England,Eric Dier,"[41.8, 51.2]"
573,888,England,Harry Maguire,"[46.6, 30.5]"
574,889,England,Eric Dier,"[44.0, 55.8]"
575,892,England,Marcus Rashford,"[79.9, 78.4]"
576,893,England,Kyle Walker,"[57.0, 74.3]"
577,894,England,Declan Rice,"[63.7, 48.3]"
578,895,England,Luke Shaw,"[65.2, 16.0]"
579,896,England,Jack Grealish,"[94.1, 5.2]"
580,897,England,Luke Shaw,"[81.1, 11.4]"
581,898,England,Luke Shaw,"[87.3, 5.9]"
582,899,England,Harry Maguire,"[54.8, 14.8]"
583,900,England,Eric Dier,"[45.7, 44.7]"
584,901,England,Kyle Walker,"[48.8, 69.5]"
585,902,England,Eric Dier,"[22.0, 72.4]"
586,903,England,Jordan Pickford,"[20.6, 33.1]"
587,914,England,Kyle Walker,"[53.2, 79.1]"
588,916,England,Eric Dier,"[51.2, 70.5]"
589,917,England,Mason Mount,"[72.9, 67.6]"
590,918,England,Marcus Rashford,"[79.4, 72.6]"
591,937,England,Jordan Pickford,"[7.0, 44.1]"
592,938,England,Marcus Rashford,"[92.1, 61.8]"
593,942,England,Jordan Pickford,"[25.4, 49.3]"
594,955,England,Jack Grealish,"[82.3, 38.4]"
595,966,England,Jordan Pickford,"[14.1, 38.7]"
596,967,England,Declan Rice,"[44.7, 8.1]"
597,968,England,Jack Grealish,"[37.9, 44.2]"
598,969,England,Eric Dier,"[22.8, 52.4]"
599,970,England,Kyle Walker,"[35.1, 66.4]"
600,971,England,Harry Kane,"[45.9, 77.4]"
601,972,England,Kyle Walker,"[35.8, 71.9]"
602,973,England,Eric Dier,"[13.9, 64.7]"
603,974,England,Jordan Pickford,"[9.8, 37.2]"
604,975,England,Declan Rice,"[22.8, 35.5]"
605,976,England,Eric Dier,"[12.4, 58.7]"
606,977,England,Declan Rice,"[32.6, 59.9]"
607,978,England,Kyle Walker,"[35.5, 75.8]"
608,982,England,Luke Shaw,"[47.8, 38.4]"
609,983,England,Eric Dier,"[40.6, 60.3]"
610,984,England,Kalvin Phillips,"[50.0, 60.3]"
611,985,England,Kyle Walker,"[38.7, 77.9]"
612,986,England,Kalvin Phillips,"[37.2, 71.7]"
613,1001,England,Jordan Pickford,"[7.0, 44.1]"
614,1002,England,Eric Dier,"[42.0, 71.4]"
615,1003,England,Kyle Walker,"[33.6, 78.4]"
616,1004,England,Eric Dier,"[16.0, 66.8]"
617,1005,England,Jordan Pickford,"[23.5, 34.1]"
618,1006,England,Marcus Rashford,"[70.0, 73.6]"
619,1007,England,Kyle Walker,"[27.1, 71.7]"
620,1008,England,Declan Rice,"[35.5, 69.3]"
621,1009,England,Kyle Walker,"[35.5, 77.4]"
622,1010,England,Eric Dier,"[11.7, 77.0]"
623,1012,England,Declan Rice,"[59.1, 44.7]"
624,1013,England,Kalvin Phillips,"[76.0, 57.2]"
625,1014,England,Jack Grealish,"[98.6, 28.1]"
626,1015,England,Luke Shaw,"[117.2, 22.5]"
627,1026,England,Luke Shaw,"[19.9, 29.5]"
628,1027,England,Jack Grealish,"[28.8, 32.4]"
629,1049,England,Declan Rice,"[18.6, 19.8]"
630,1050,England,Jordan Pickford,"[2.9, 32.8]"
631,1059,England,Jude Bellingham,"[74.0, 3.1]"
632,1060,England,Harry Maguire,"[46.7, 21.7]"
633,1061,England,John Stones,"[32.1, 41.7]"
634,1062,England,Jordan Pickford,"[14.9, 27.7]"
635,1063,England,John Stones,"[21.7, 52.5]"
636,1064,England,Kyle Walker,"[36.9, 73.0]"
637,1065,England,Harry Maguire,"[21.7, 12.8]"
638,1066,England,Luke Shaw,"[42.6, 3.4]"
639,1067,England,Philip Foden,"[63.1, 2.7]"
640,1068,England,Harry Maguire,"[29.2, 9.4]"
641,1069,England,Jude Bellingham,"[39.3, 3.6]"
642,1070,England,Harry Maguire,"[25.1, 16.6]"
643,1071,England,Jude Bellingham,"[38.8, 3.4]"
644,1072,England,Luke Shaw,"[54.7, 2.2]"
645,1073,England,Philip Foden,"[97.3, 12.5]"
646,1081,England,Harry Kane,"[97.6, 12.8]"
647,1082,England,Jordan Brian Henderson,"[99.0, 24.8]"
648,1083,England,Philip Foden,"[116.6, 20.2]"
649,1087,England,John Stones,"[19.5, 50.8]"
650,1088,England,Harry Maguire,"[31.1, 10.4]"
651,1089,England,Luke Shaw,"[53.7, 2.4]"
652,1090,England,Philip Foden,"[67.2, 2.4]"
653,1091,England,Luke Shaw,"[63.4, 6.3]"
654,1093,England,John Stones,"[23.6, 51.1]"
655,1094,England,Kyle Walker,"[32.8, 72.8]"
656,1095,England,Bukayo Saka,"[50.4, 74.0]"
657,1096,England,Harry Maguire,"[38.6, 3.9]"
658,1097,England,Philip Foden,"[75.9, 4.8]"
659,1098,England,Luke Shaw,"[73.0, 1.7]"
660,1099,England,Jude Bellingham,"[92.3, 4.3]"
661,1100,England,John Stones,"[31.6, 31.6]"
662,1101,England,Kyle Walker,"[36.1, 54.7]"
663,1102,England,Bukayo Saka,"[55.2, 71.8]"
664,1103,England,Jordan Brian Henderson,"[46.3, 57.6]"
665,1104,England,Bukayo Saka,"[42.2, 70.1]"
666,1105,England,John Stones,"[14.7, 56.9]"
667,1106,England,Harry Maguire,"[28.2, 6.5]"
668,1107,England,Jude Bellingham,"[47.7, 10.6]"
669,1108,England,Luke Shaw,"[50.1, 4.3]"
670,1109,England,Declan Rice,"[53.7, 10.4]"
671,1110,England,Harry Maguire,"[32.1, 8.4]"
672,1111,England,Jordan Pickford,"[14.5, 38.5]"
673,1112,England,John Stones,"[22.9, 51.6]"
674,1113,England,Declan Rice,"[34.2, 48.7]"
675,1114,England,Kyle Walker,"[31.1, 73.7]"
676,1115,England,John Stones,"[4.3, 70.1]"
677,1116,England,Jordan Brian Henderson,"[40.2, 66.7]"
678,1117,England,Harry Kane,"[55.9, 69.9]"
679,1120,England,Kyle Walker,"[81.2, 50.6]"
680,1121,England,Declan Rice,"[114.7, 20.5]"
681,1122,England,Philip Foden,"[97.1, 27.0]"
682,1123,England,Harry Kane,"[101.4, 33.7]"
683,1129,England,John Stones,"[14.9, 46.0]"
684,1130,England,Harry Maguire,"[33.7, 5.3]"
685,1131,England,Jude Bellingham,"[57.3, 6.7]"
686,1132,England,Luke Shaw,"[56.9, 1.7]"
687,1133,England,Harry Kane,"[77.1, 11.6]"
688,1134,England,Philip Foden,"[86.0, 7.1]"
689,1135,England,Kyle Walker,"[88.4, 71.8]"
690,1136,England,Declan Rice,"[56.1, 52.5]"
691,1137,England,John Stones,"[48.9, 39.8]"
692,1138,England,Luke Shaw,"[36.6, 5.3]"
693,1139,England,Harry Maguire,"[23.1, 20.2]"
694,1140,England,Philip Foden,"[71.8, 2.2]"
695,1143,England,Luke Shaw,"[48.7, 3.4]"
696,1144,England,Harry Maguire,"[47.0, 3.6]"
697,1145,England,Luke Shaw,"[65.8, 2.7]"
698,1146,England,Philip Foden,"[89.4, 2.7]"
699,1147,England,Harry Kane,"[80.5, 4.3]"
700,1148,England,Bukayo Saka,"[96.1, 67.7]"
701,1149,England,Kyle Walker,"[75.9, 67.7]"
702,1150,England,John Stones,"[54.9, 39.5]"
703,1151,England,Jordan Brian Henderson,"[82.4, 74.7]"
704,1152,England,Jude Bellingham,"[96.1, 34.0]"
705,1153,England,Kyle Walker,"[73.5, 53.5]"
706,1154,England,Harry Maguire,"[67.2, 25.8]"
707,1155,England,Philip Foden,"[90.1, 3.9]"
708,1156,England,Harry Maguire,"[76.1, 8.2]"
709,1157,England,John Stones,"[64.3, 34.9]"
710,1158,England,Kyle Walker,"[63.8, 53.0]"
711,1159,England,John Stones,"[56.4, 39.0]"
712,1160,England,Declan Rice,"[67.2, 38.1]"
713,1161,England,Kyle Walker,"[58.1, 51.8]"
714,1162,England,Bukayo Saka,"[77.3, 74.0]"
715,1163,England,Kyle Walker,"[43.9, 67.9]"
716,1164,England,John Stones,"[37.8, 46.5]"
717,1165,England,Jordan Brian Henderson,"[61.2, 51.6]"
718,1166,England,Kyle Walker,"[47.0, 55.6]"
719,1167,England,Bukayo Saka,"[116.6, 66.7]"
720,1168,England,Luke Shaw,"[91.3, 5.8]"
721,1169,England,Jude Bellingham,"[90.6, 13.5]"
722,1170,England,Philip Foden,"[95.2, 11.6]"
723,1171,England,Jude Bellingham,"[93.2, 16.9]"
724,1174,England,Harry Kane,"[110.6, 11.3]"
725,1175,England,Bukayo Saka,"[108.2, 43.8]"
726,1176,England,Harry Kane,"[94.7, 54.0]"
727,1179,England,Harry Kane,"[84.6, 55.6]"
728,1180,England,Jordan Brian Henderson,"[93.2, 74.9]"
729,1181,England,Bukayo Saka,"[116.6, 55.9]"
730,1185,England,Declan Rice,"[41.9, 17.6]"
731,1186,England,John Stones,"[25.5, 27.9]"
732,1187,England,Jordan Pickford,"[7.5, 34.9]"
733,1188,England,Harry Kane,"[62.9, 9.9]"
734,1189,England,Philip Foden,"[80.5, 3.9]"
735,1191,England,Harry Kane,"[103.4, 10.6]"
736,1192,England,Philip Foden,"[106.5, 5.5]"
737,1193,England,Luke Shaw,"[96.4, 3.1]"
738,1194,England,Philip Foden,"[104.3, 3.1]"
739,1195,England,Harry Kane,"[100.5, 12.5]"
740,1198,England,Jordan Brian Henderson,"[68.9, 56.6]"
741,1200,England,John Stones,"[24.8, 73.0]"
742,1201,England,Jordan Pickford,"[8.4, 41.4]"
743,1202,England,Luke Shaw,"[54.9, 2.2]"
744,1203,England,Harry Maguire,"[44.3, 5.3]"
745,1204,England,John Stones,"[37.6, 32.5]"
746,1205,England,Kyle Walker,"[39.3, 54.0]"
747,1206,England,Harry Maguire,"[43.9, 7.5]"
748,1207,England,Luke Shaw,"[57.3, 1.4]"
749,1208,England,Declan Rice,"[57.3, 12.3]"
750,1209,England,Philip Foden,"[76.4, 8.4]"
751,1210,England,Luke Shaw,"[84.3, 2.2]"
752,1211,England,Harry Kane,"[92.0, 20.7]"
753,1215,England,John Stones,"[12.5, 24.3]"
754,1216,England,Declan Rice,"[18.4, 22.3]"
755,1217,England,John Stones,"[10.6, 48.9]"
756,1218,England,Declan Rice,"[29.6, 32.5]"
757,1219,England,John Stones,"[24.1, 48.4]"
758,1220,England,Kyle Walker,"[36.1, 65.8]"
759,1221,England,Bukayo Saka,"[56.4, 74.9]"
760,1222,England,Kyle Walker,"[52.3, 56.1]"
761,1224,England,Jordan Pickford,"[3.9, 38.1]"
762,1225,England,Jude Bellingham,"[37.6, 40.7]"
763,1226,England,Kyle Walker,"[13.7, 75.6]"
764,1227,England,John Stones,"[6.0, 61.9]"
765,1228,England,Jordan Brian Henderson,"[28.9, 46.5]"
766,1229,England,John Stones,"[14.7, 35.7]"
767,1230,England,Harry Maguire,"[24.6, 5.3]"
768,1231,England,John Stones,"[22.2, 47.5]"
769,1232,England,Kyle Walker,"[31.8, 63.8]"
770,1233,England,Jordan Pickford,"[15.4, 42.4]"
771,1234,England,Harry Maguire,"[32.1, 13.7]"
772,1235,England,John Stones,"[33.3, 37.6]"
773,1236,England,Kyle Walker,"[49.6, 71.1]"
774,1237,England,Harry Maguire,"[32.8, 21.7]"
775,1238,England,Jude Bellingham,"[56.4, 1.7]"
776,1239,England,Philip Foden,"[74.0, 2.4]"
777,1240,England,Jude Bellingham,"[52.8, 3.1]"
778,1241,England,John Stones,"[42.2, 27.9]"
779,1242,England,Kyle Walker,"[47.7, 49.1]"
780,1243,England,Philip Foden,"[92.5, 18.8]"
781,1249,England,Harry Kane,"[88.4, 62.9]"
782,1250,England,John Stones,"[113.5, 45.4]"
783,1266,England,Bukayo Saka,"[18.8, 62.2]"
784,1268,England,Jude Bellingham,"[54.2, 8.4]"
785,1270,England,John Stones,"[30.6, 58.8]"
786,1271,England,Harry Maguire,"[22.7, 22.6]"
787,1272,England,Luke Shaw,"[33.0, 3.4]"
788,1273,England,Jordan Pickford,"[4.3, 39.8]"
789,1274,England,John Stones,"[17.8, 63.1]"
790,1275,England,Harry Kane,"[62.9, 53.7]"
791,1281,England,Declan Rice,"[49.6, 3.1]"
792,1282,England,Jordan Brian Henderson,"[37.1, 21.7]"
793,1283,England,Kyle Walker,"[43.6, 54.7]"
794,1284,England,John Stones,"[34.2, 41.9]"
795,1285,England,Kyle Walker,"[41.9, 56.6]"
796,1286,England,John Stones,"[28.2, 47.0]"
797,1287,England,Harry Maguire,"[26.5, 12.8]"
798,1288,England,Jordan Pickford,"[9.4, 32.0]"
799,1289,England,Harry Maguire,"[28.2, 3.4]"
800,1290,England,Luke Shaw,"[54.7, 3.4]"
801,1291,England,Harry Maguire,"[37.6, 3.6]"
802,1292,England,Philip Foden,"[80.5, 3.9]"
803,1295,England,Luke Shaw,"[47.7, 3.4]"
804,1296,England,Jude Bellingham,"[48.9, 9.4]"
805,1297,England,Jordan Brian Henderson,"[51.1, 23.4]"
806,1298,England,John Stones,"[39.0, 44.6]"
807,1299,England,Harry Maguire,"[45.8, 5.3]"
808,1300,England,John Stones,"[37.1, 29.4]"
809,1301,England,Kyle Walker,"[38.6, 44.8]"
810,1302,England,Harry Maguire,"[44.3, 6.3]"
811,1303,England,John Stones,"[41.9, 32.5]"
812,1304,England,Kyle Walker,"[54.0, 71.1]"
813,1305,England,Jordan Brian Henderson,"[59.0, 55.6]"
814,1306,England,John Stones,"[40.2, 54.0]"
815,1307,England,Jordan Brian Henderson,"[47.7, 68.9]"
816,1308,England,Bukayo Saka,"[86.3, 69.1]"
817,1309,England,Declan Rice,"[75.2, 44.8]"
818,1310,England,Luke Shaw,"[79.3, 5.3]"
819,1311,England,Jude Bellingham,"[90.3, 3.6]"
820,1312,England,Declan Rice,"[71.3, 15.7]"
821,1313,England,John Stones,"[64.8, 34.7]"
822,1314,England,Declan Rice,"[67.0, 13.3]"
823,1315,England,Jude Bellingham,"[66.3, 2.2]"
824,1316,England,Bukayo Saka,"[76.4, 13.3]"
825,1317,England,Philip Foden,"[89.1, 12.5]"
826,1318,England,Bukayo Saka,"[82.4, 9.6]"
827,1319,England,Philip Foden,"[107.4, 20.7]"
828,1320,England,Harry Maguire,"[53.6, 8.0]"
829,1321,England,John Stones,"[51.6, 35.4]"
830,1322,England,Declan Rice,"[56.6, 27.0]"
831,1323,England,John Stones,"[50.4, 42.9]"
832,1324,England,Kyle Walker,"[39.8, 68.8]"
833,1325,England,Jordan Pickford,"[17.1, 32.2]"
834,1326,England,Harry Maguire,"[30.4, 11.5]"
835,1327,England,Jordan Pickford,"[23.2, 24.8]"
836,1328,England,John Stones,"[35.6, 46.2]"
837,1329,England,Harry Kane,"[69.3, 46.5]"
838,1331,England,Harry Maguire,"[37.1, 34.8]"
839,1332,England,Jordan Brian Henderson,"[73.6, 75.1]"
840,1333,England,Harry Kane,"[91.2, 70.5]"
841,1334,England,Kyle Walker,"[84.8, 75.7]"
842,1335,England,John Stones,"[57.4, 69.4]"
843,1336,England,Harry Maguire,"[51.4, 34.0]"
844,1337,England,Luke Shaw,"[69.8, 4.2]"
845,1338,England,Harry Maguire,"[46.1, 16.9]"
846,1339,England,John Stones,"[53.6, 44.2]"
847,1340,England,Jordan Brian Henderson,"[66.4, 49.1]"
848,1341,England,John Stones,"[50.8, 47.6]"
849,1342,England,Jordan Brian Henderson,"[55.7, 51.3]"
850,1343,England,John Stones,"[53.6, 41.3]"
851,1344,England,Harry Maguire,"[55.9, 11.7]"
852,1345,England,Luke Shaw,"[80.3, 4.2]"
